404.7000000000	1.6503913213       0.0004158
407.8000000000	1.6492403149       0.0004155
435.8000000000	1.6416340850       0.0004136
491.6000000000	1.6310976906       0.0004109
496.0000000000	1.6301713341       0.0004107
546.1000000000	1.6236576634       0.0004090
577.0000000000	1.6204243500       0.0004082
579.1000000000	1.6200832809       0.0004081
623.4000000000	1.6165794243       0.0004072
