# m h(m) T/T_c 
2.130000 11.756223 2.000000
2.140000 11.813922 2.000000
2.150000 11.871681 2.000000
2.160000 11.929439 2.000000
2.170000 11.987198 2.000000
2.180000 12.044956 2.000000
2.190000 12.102775 2.000000
2.200000 12.160533 2.000000
2.210000 12.218292 2.000000
2.220000 12.276050 2.000000
2.230000 12.333869 2.000000
2.240000 12.391627 2.000000
2.250000 12.449445 2.000000
2.260000 12.507264 2.000000
2.270000 12.565022 2.000000
2.280000 12.622840 2.000000
2.290000 12.680659 2.000000
2.300000 12.738477 2.000000
2.310000 12.796295 2.000000
2.320000 12.854113 2.000000
2.330000 12.911931 2.000000
2.340000 12.969749 2.000000
2.350000 13.027568 2.000000
2.360000 13.085386 2.000000
2.370000 13.143264 2.000000
2.380000 13.201082 2.000000
2.390000 13.258900 2.000000
2.400000 13.316778 2.000000
2.410000 13.374596 2.000000
2.420000 13.432474 2.000000
2.430000 13.490292 2.000000
2.440000 13.548169 2.000000
2.450000 13.606047 2.000000
2.460000 13.663925 2.000000
2.470000 13.721743 2.000000
2.480000 13.779621 2.000000
2.490000 13.837498 2.000000
2.500000 13.895376 2.000000
2.510000 13.953254 2.000000
2.520000 14.011132 2.000000
2.530000 14.069009 2.000000
2.540000 14.126887 2.000000
2.550000 14.184765 2.000000
2.560000 14.242643 2.000000
2.570000 14.300580 2.000000
2.580000 14.358458 2.000000
2.590000 14.416335 2.000000
2.600000 14.474273 2.000000
2.610000 14.532150 2.000000
2.620000 14.590028 2.000000
2.630000 14.647965 2.000000
2.640000 14.705843 2.000000
2.650000 14.763780 2.000000
2.660000 14.821658 2.000000
2.670000 14.879595 2.000000
2.680000 14.937532 2.000000
2.690000 14.995410 2.000000
2.700000 15.053347 2.000000
2.710000 15.111285 2.000000
2.720000 15.169162 2.000000
2.730000 15.227100 2.000000
2.740000 15.285037 2.000000
2.750000 15.342974 2.000000
2.760000 15.400912 2.000000
2.770000 15.458849 2.000000
2.780000 15.516786 2.000000
2.790000 15.574723 2.000000
2.800000 15.632661 2.000000
2.810000 15.690598 2.000000
2.820000 15.748535 2.000000
2.830000 15.806472 2.000000
2.840000 15.864410 2.000000
2.850000 15.922347 2.000000
2.860000 15.980284 2.000000
2.870000 16.038221 2.000000
2.880000 16.096218 2.000000
2.890000 16.154156 2.000000
2.900000 16.212093 2.000000
2.910000 16.270090 2.000000
2.920000 16.328027 2.000000
2.930000 16.385964 2.000000
2.940000 16.443961 2.000000
2.950000 16.501898 2.000000
2.960000 16.559835 2.000000
2.970000 16.617832 2.000000
2.980000 16.675770 2.000000
2.990000 16.733766 2.000000
3.000000 16.791704 2.000000
3.010000 16.849700 2.000000
3.020000 16.907697 2.000000
3.030000 16.965635 2.000000
3.040000 17.023631 2.000000
3.050000 17.081569 2.000000
3.060000 17.139565 2.000000
3.070000 17.197562 2.000000
3.080000 17.255499 2.000000
3.090000 17.313496 2.000000
3.100000 17.371493 2.000000
3.110000 17.429490 2.000000
3.120000 17.487427 2.000000
3.130000 17.545424 2.000000
3.140000 17.603421 2.000000
3.150000 17.661418 2.000000
3.160000 17.719414 2.000000
3.170000 17.777411 2.000000
3.180000 17.835348 2.000000
3.190000 17.893345 2.000000
3.200000 17.951342 2.000000
3.210000 18.009339 2.000000
3.220000 18.067336 2.000000
3.230000 18.125333 2.000000
3.240000 18.183329 2.000000
3.250000 18.241326 2.000000
3.260000 18.299323 2.000000
3.270000 18.357320 2.000000
3.280000 18.415317 2.000000
3.290000 18.473313 2.000000
3.300000 18.531310 2.000000
3.310000 18.589367 2.000000
3.320000 18.647363 2.000000
3.330000 18.705360 2.000000
3.340000 18.763357 2.000000
3.350000 18.821354 2.000000
3.360000 18.879351 2.000000
3.370000 18.937407 2.000000
3.380000 18.995404 2.000000
3.390000 19.053401 2.000000
3.400000 19.111397 2.000000
3.410000 19.169454 2.000000
3.420000 19.227451 2.000000
3.430000 19.285447 2.000000
3.440000 19.343444 2.000000
3.450000 19.401501 2.000000
