234	  390.83    256.46  
235	  389.73    256.64  
236	  389.74    255.48  
237	  389.75    254.93  
238	  388.50    255.49  
239	  387.90    255.72  
240	  389.86    253.47  
241	  390.50    254.24  
242	  391.77    254.48  
243	  393.13    252.76  
244	  392.08    253.16  
245	  395.58    253.06  
246	  392.61    252.70  
247	  394.21    250.87  
248	  391.03    252.24  
249	  387.21    253.10  
250	  387.66    249.82  
251	  387.25    250.02  
252	  386.87    248.96  
253	  386.86    249.86  
254	  389.81    252.32  
255	  389.16    252.56  
256	  388.72    252.96  
257	  390.27    252.73  
258	  389.17    250.85  
259	  385.06    251.84  
260	  385.11    253.68  
261	  385.71    252.83  
262	  384.72    251.95  
263	  383.36    248.94  
264	  383.70    247.94  
265	  383.89    247.73  
266	  381.81    245.41  
267	  383.68    247.06  
268	  384.83    245.73  
269	  386.47    247.57  
270	  382.06    247.73  
271	  383.12    249.29  
272	  384.28    250.40  
273	  385.57    249.01  
274	  383.53    250.50  
275	  385.28    248.42  
276	  385.46    249.28  
277	  390.67    248.72  
278	  391.99    249.85  
279	  393.17    249.75  
280	  391.53    252.63  
281	  392.77    254.04  
282	  390.64    253.16  
283	  391.52    250.09  
284	  393.55    249.61  
285	  395.70    248.88  
286	  395.13    246.03  
287	  393.49    245.46  
288	  393.72    245.52  
289	  394.48    247.41  
290	  393.59    247.41  
291	  392.19    247.75  
292	  391.35    245.22  
293	  392.17    248.67  
294	  393.20    248.46  
295	  393.81    249.51  
296	  393.86    247.91  
297	  392.74    245.73  
298	  391.59    246.51  
299	  388.55    249.05  
300	  388.11    247.83  
301	  387.99    248.79  
302	  388.77    247.31  
303	  387.99    247.69  
304	  389.86    248.26  
305	  391.28    248.72  
306	  390.34    247.68  
307	  391.19    245.69  
308	  390.66    248.12  
309	  391.57    246.97  
310	  392.92    246.89  
311	  391.26    244.57  
312	  392.63    245.88  
313	  390.62    246.33  
314	  393.31    246.00  
315	  393.94    246.91  
316	  393.61    249.49  
317	  395.00    249.20  
318	  394.78    251.77  
319	  395.73    252.82  
320	  393.93    254.47  
321	  394.76    254.67  
322	  393.05    252.47  
323	  392.59    251.91  
324	  392.61    254.19  
325	  394.77    253.94  
326	  394.44    253.20  
327	  395.72    252.05  
328	  395.47    251.93  
329	  394.98    251.60  
330	  399.20    253.64  
331	  399.51    255.00  
332	  398.80    253.62  
333	  399.66    255.03  
334	  398.09    254.19  
335	  401.05    250.58  
336	  400.13    251.54  
337	  398.93    249.50  
338	  399.73    249.00  
339	  398.25    249.18  
340	  399.93    248.08  
341	  396.76    248.31  
342	  398.77    248.10  
343	  398.39    249.66  
344	  398.56    249.29  
345	  400.54    251.54  
346	  401.87    250.31  
347	  402.22    251.94  
348	  401.07    253.59  
349	  398.13    256.42  
350	  395.67    258.58  
351	  394.56    259.89  
352	  394.20    261.71  
353	  393.47    261.73  
354	  392.72    262.78  
355	  393.29    263.52  
356	  393.75    261.99  
357	  395.69    263.67  
358	  395.11    262.81  
359	  396.03    262.93  
360	  397.66    261.46  
361	  397.33    260.26  
362	  395.89    261.19  
363	  395.12    262.53  
364	  394.06    260.77  
365	  391.82    262.84  
366	  393.02    265.81  
367	  390.93    267.38  
368	  392.18    267.53  
369	  395.41    267.71  
370	  396.53    267.14  
371	  396.14    264.80  
372	  394.40    263.84  
373	  397.59    263.72  
374	  396.04    264.97  
375	  394.85    265.99  
376	  394.44    263.76  
377	  393.06    263.76  
378	  392.24    265.11  
379	  391.78    263.67  
380	  391.30    265.30  
381	  388.39    266.10  
382	  388.60    266.18  
383	  387.87    266.54  
384	  386.70    266.28  
385	  385.60    266.17  
386	  385.70    266.19  
387	  387.31    266.27  
388	  386.21    266.76  
389	  386.34    264.89  
390	  386.55    263.90  
391	  386.37    264.78  
392	  387.82    265.78  
393	  387.60    265.70  
394	  387.86    266.27  
395	  388.13    266.19  
396	  387.89    268.12  
397	  387.10    268.43  
398	  385.98    268.32  
