0	26.2	21.35
50	26.7	23.2
100	27.2	25.1
150	27.7	27
200	28.2	28.95
250	28.7	30.9
300	29.1	32.8
350	29.5	34.7
400	30	36.6
450	30.4	38.05
500	30.9	
550	31.3	
600	31.8	
650	32.3	
700	32.7	
750	33.2	
800	33.7	
850	34.2	
900	34.65	
950	35.1	
1000	35.6	

