50.70	1.66	1.26E-1
38.00	1.38	1.05E-1
32.35	1.24	9.54E-2
27.95	1.25	9.44E-2
20.30	1.26	9.40E-2
16.30	1.10	8.77E-2
11.95	1.21	1.01E-1
47.60	1.32	1.08E-1
16.10	1.26	9.67E-2
