# f [kHz] # U_hand[V] # U_Lab[V] # U_Osz[V]
2000	0.003	2.44	5.065
2500	4.004	4.522	5.075
3000	0.004	0.8423	5.095
3100	0.003	0.8263	5.105
3200	0.003	0.8066	5.105
