# f [kHz] # U_hand[V] # U_Lab[V] # U_Osz[V]
1	5	5.0027	5.04
1.5	5.03	5.0037	5.04
2	5.07	5.0048	5.04
2.1	5.085	5.0051	5.04
2.15	5.09	5.0053	5.04
2.19	5.10	5.0054	5.04
2.3	5.11	5.0057	5.04
3	5.21	5.0076	5.04
