2	1230	46.00	
4	1090	48.77	
6	1060	54.00	25
8	1060	64.37	20
10	1060	84.46	20
11	1060	103.21	20
12	1060	135.65	30
13	1060	211.76	25
13.5	1060	296.61	40
14	1060	461	
14.45	1060	1222	20
60	27470	10.41	10
40	24290	9.47	40
30	23290	8.33	10
20	22640	4.93	15
18	22520	3.58	15
17	22480	2.68	15
16	22370	1.63	20
15.5	22410	1.05	20
15.5	22380	0.40	15
14.8	22380	0.00	0
