# Abhaengigkeit der Induktionsspannung von der Frequenz
# f[Hz] U_i [mV]
20	19.4	
40	38.2
60	55.4
80	74.3
100	92.1
120	111
140	129
160	150
180	166
200	188
220	206
240	232
260	242
280	270
300	277
