  181.80    451.86  
  182.75    451.63  
  185.03    451.91  
  184.46    452.04  
  185.03    453.17  
  185.53    453.18  
  185.57    451.24  
  184.97    450.87  
  185.11    451.76  
  185.95    453.97  
  185.37    453.28  
  184.84    452.47  
  184.80    450.58  
  182.33    450.87  
  181.03    452.21  
  182.76    451.39  
  183.11    451.24  
  184.44    452.01  
  186.09    452.46  
  185.63    452.33  
  184.30    452.63  
  185.40    451.36  
  184.09    451.31  
  184.83    451.14  
  184.08    452.24  
  185.72    452.41  
  185.51    451.80  
  185.79    450.88  
  187.47    451.91  
  185.73    450.06  
  185.06    450.96  
  185.04    451.62  
  186.31    453.06  
  184.22    451.65  
  185.16    451.16  
  181.64    451.01  
  182.21    450.05  
  182.43    450.73  
  184.12    451.44  
  185.43    452.53  
  185.44    451.67  
  185.70    452.15  
  186.76    452.22  
  185.23    450.41  
  185.31    450.03  
  186.13    451.26  
  185.25    454.06  
  185.33    453.05  
  186.84    451.82  
  186.78    452.59  
  185.89    451.74  
  185.81    450.97  
  184.91    450.99  
  184.83    451.11  
  184.16    451.54  
  185.91    450.63  
  186.01    452.28  
  183.66    453.01  
  183.63    452.99  
  182.45    453.21  
  181.95    451.77  
  181.08    452.31  
  181.37    452.16  
  182.35    452.09  
  182.84    452.51  
  183.72    451.69  
  183.08    451.60  
  185.41    451.98  
  184.81    452.33  
  184.99    453.25  
  183.87    451.04  
  185.67    452.83  
  183.09    453.19  
  182.69    452.86  
  182.52    453.60  
  182.00    453.32  
  182.44    454.20  
  182.47    453.94  
  182.33    451.75  
  182.09    451.95  
  181.96    452.24  
  183.38    453.11  
  183.05    453.20  
  182.75    453.26  
  182.51    454.69  
  183.96    453.91  
  186.04    452.34  
  187.13    453.31  
  186.32    453.69  
  185.42    453.38  
  185.25    453.20  
  184.02    454.07  
  182.64    454.16  
  182.20    452.59  
  183.75    451.97  
  184.10    451.95  
  183.55    453.10  
  184.03    451.62  
  186.31    451.44  
  185.86    451.62  
  184.76    452.72  
  185.88    451.98  
  185.51    453.13  
  185.59    452.26  
  184.63    453.22  
  183.43    453.99  
  183.85    450.64  
  186.09    451.97  
  184.81    452.41  
  183.71    452.21  
  184.57    453.07  
