0	0	0
0	1	0
0	2	0
0	3	0
0	4	2
0	5	4
0	6	1
0	7	2
0	8	0
0	9	0
1	0	0
1	1	1
1	2	3
1	3	6
1	4	8
1	5	19
1	6	12
1	7	1
1	8	0
1	9	0
2	0	1
2	1	0
2	2	5
2	3	23
2	4	52
2	5	84
2	6	61
2	7	26
2	8	4
2	9	0
3	0	1
3	1	3
3	2	19
3	3	72
3	4	143
3	5	202
3	6	134
3	7	56
3	8	8
3	9	0
4	0	0
4	1	4
4	2	33
4	3	109
4	4	223
4	5	271
4	6	179
4	7	76
4	8	16
4	9	2
5	0	0
5	1	6
5	2	46
5	3	100
5	4	171
5	5	186
5	6	147
5	7	58
5	8	13
5	9	2
6	0	2
6	1	1
6	2	12
6	3	35
6	4	69
6	5	93
6	6	76
6	7	20
6	8	6
6	9	1
7	0	0
7	1	0
7	2	6
7	3	12
7	4	18
7	5	17
7	6	17
7	7	7
7	8	0
7	9	1
8	0	0
8	1	0
8	2	1
8	3	2
8	4	1
8	5	0
8	6	2
8	7	1
8	8	0
8	9	0
9	0	0
9	1	0
9	2	1
9	3	0
9	4	1
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
